id,wavelet_coif1_lh_level_3_invar_stat_p10,log_s_2.0_ih_skew_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_rlm_lrhge_2d_s_mrg_fbn_n32,log_s_1.0_cm_info_corr2_d1_2d_s_mrg_fbn_n32,log_s_2.0_cm_corr_d1_2d_s_mrg_fbn_n32,log_s_4.0_ih_skew_fbn_n32,log_s_1.0_cm_corr_d1_2d_s_mrg_fbn_n32,wavelet_coif1_lh_level_2_invar_cm_info_corr2_d1_2d_s_mrg_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_rlm_rl_entr_2d_s_mrg_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_stat_iqr,gabor_s_2.0_g_1.0_l_8.0_2D_ngl_dcnu_d1_a0.0_2d_fbn_n32,cm_diff_var_d16_2d_avg_fbn_n32,log_s_4.0_stat_skew
06817_01,0.2795187160671069,-0.2137051071561429,479.9723279648609,0.7755315717597004,0.9210120334769284,-0.2592105433473282,0.6919062921671476,0.8179832767940393,5.752545071106448,5.527513475230082,6159.865061901269,11.111872245747788,-0.2615004680980898
06819_01,0.1920936977303854,0.1079548079773051,548.010005828638,0.8161648949410071,0.9310188824437952,-0.2778226260552991,0.747526331067222,0.8714139419020123,6.031890048435191,6.606541950921038,6972.8414771348525,14.103215858916492,-0.2794452792964534
06819_02,0.1608868921975187,-0.1653583121483078,492.4719054338522,0.7979703659914751,0.9344415407084958,-0.2738913067185705,0.7148354125594438,0.8696665710864702,5.921552427561158,5.1352062436584,6078.142814764588,15.1076720819152,-0.2759106208209922
06821_01,0.2072085383853523,-0.4115781161714638,372.8020473731208,0.7647666633741118,0.9382373702416406,-0.4264131686096764,0.6769960369018074,0.8414825468658201,5.618466138757773,5.017933059302363,6451.074344813736,15.333587405706467,-0.4294565243772505
06821_02,0.1303577160942767,0.4299434457515588,407.49575322566864,0.7277637639202309,0.9219506311748388,0.0469208505407026,0.6819877110156939,0.8127198478735513,6.026565851482363,4.330076017243648,6673.35427959293,8.299760392804874,0.0482863039112759
06821_03,0.1224576994820311,0.9859412888206636,551.2042320613749,0.7378950214271179,0.9163466365284798,0.2418403410739623,0.7218559898909993,0.8310831529398769,6.367409424447941,4.032449584135169,6031.954184808902,10.528336299782454,0.2434666114460482
06823_01,0.0759431702197553,2.336412480730273,445.6555043663618,0.6170096823201892,0.9156577036691292,0.6105371514118707,0.6642040536749769,0.693799304728451,6.08449338366258,1.872554759868701,6580.698535550691,5.791017412660057,0.6144827914317252
06823_02,0.0575937230444217,2.284001359774144,562.3827261563652,0.6469226802146775,0.9167825586163556,0.7407053496522074,0.7088332903772094,0.7318563897829945,6.162190510173006,1.9328239678801733,6017.787959183674,8.656282952223616,0.7444350569557551
06823_03,0.1064041916784462,0.6821486093753221,205.53781039470363,0.5969558611274083,0.9204429273006256,-0.1116414074978175,0.5680795024191184,0.6791233019718234,5.775392859637324,2.8418693995956072,6164.537925922598,9.381349434287364,-0.1124469300148602
06823_04,0.2907202394095141,-0.2618068415160742,555.083952470294,0.7524530565003705,0.9359881562810514,-0.1596420747796713,0.6663210240168638,0.823307284298972,5.805889613636285,5.419215990315402,6841.077490997606,14.198111589605276,-0.1613632191250538
06823_05,0.1470512013738096,0.2925535104232904,567.5445354380206,0.7371341769656702,0.9312655252847624,0.0450024166577287,0.6765179656599949,0.8328941472410265,6.160723340091328,5.054587187654985,6321.454893796097,8.533343343308301,0.0437869101828049
06825_01,0.20796713522235,-0.1248400482248341,428.69408746355685,0.8469126558150466,0.9330257072182508,-0.2176203465231596,0.7592315615165803,0.8948287164928748,5.798603363596917,7.017992858470917,7265.19788085898,13.869466887072264,-0.2186973474372561
06825_02,0.1371600587684087,0.2888363587300135,403.8286028674067,0.8315315947631453,0.9292907478174128,0.0134620809588176,0.7560041649065548,0.8828938665081068,6.127812388149132,5.727656518330501,6416.247188997894,12.986125405221538,0.0164742814356815
06825_03,0.0420724601710314,-1.34400796490188,249.7156819839533,0.7386906049957703,0.904230558336838,-1.1410706532837462,0.7090480257355908,0.7787212387451129,5.808496881177162,3.930447639812982,1336.9185528932665,14.399411060888362,-1.132556664168625
06827_01,0.1672624679793402,-0.0800037003038338,304.39645950076414,0.7628946150437715,0.929735544875004,-0.2333558890320889,0.6823921635078117,0.83199942269496,5.738167043232677,3.897180554319955,6839.9434383175485,13.680750419100308,-0.2353661832639832
06827_02,0.1952312505156962,-0.3520858002569034,291.43308372153774,0.7935891499612291,0.92883452633723,-0.3776105005350446,0.7091341682569792,0.849731626335831,5.666528477406675,4.918562668538838,6479.174553444277,12.891350093004004,-0.3816072254008282
06829_01,0.2163781407104046,-0.4067162805560078,394.14143865842897,0.7464127928058876,0.9302026419238062,-0.4627383987526406,0.6561002272523703,0.8353529871815362,5.675975033463766,4.567797310632571,6993.764987244898,17.73295529562929,-0.4641779526589634
06829_02,0.0881360995551156,1.2325667059880276,392.2732749275852,0.711751014301078,0.9229958094251516,0.2278188053061086,0.7160411968261476,0.8137816785444542,6.070532752208616,3.4117784334177736,6339.543430729477,11.313616530773473,0.2296080985814605
06831_01,0.2720063670998661,-0.1885759198354438,356.0769982650343,0.8330257994761562,0.9221552293140084,-0.244516169476523,0.7555423076402072,0.8583348723690088,5.8462446519751055,5.645390444274455,6750.574063876652,15.160867475940789,-0.2459596874181489
06831_02,0.2182730594017713,-0.115868097654321,352.04276697697003,0.8410859583624585,0.9194449293224802,-0.1911331455979235,0.771559931395822,0.866578851867379,6.006298549440412,5.129414870456347,3939.241361898579,10.448770657264332,-0.1923657622360574
06831_03,0.1890241548975483,0.2378567379480059,362.8258811608888,0.8214376997528442,0.9155811934931372,-0.0235865335087977,0.7549099781505392,0.8575309362650617,5.986704833204296,4.913284137351792,5156.353532578837,8.540669476423385,-0.0215996674257862
06833_01,0.1588347323171171,-0.0419773394663059,332.1392575549258,0.8024183112460652,0.925700418189468,-0.3628056562556299,0.7317176113368573,0.85917115418533,5.941149683047561,4.410091777172481,5631.331718888999,13.223303951821029,-0.367881722012709
06833_02,0.1531164005604462,0.0620223246994237,331.5922229775663,0.8308827322867987,0.9230955878464798,-0.1759396030472154,0.7512970614090241,0.873467665165399,5.851377640896173,5.186085130970717,6096.281837354284,12.128756672267922,-0.1754942013633829
06833_03,0.1737042654030213,-0.1288459439469382,296.57507994518045,0.8347327687406547,0.922702717712884,-0.2831955227584443,0.7530652161754594,0.8766146486800137,5.757984014570167,5.270622537656515,6230.470780209738,13.38953827855763,-0.2839282476677689
06835_01,0.2406722463772564,-0.1049482591628248,381.1652747432258,0.7707005037012099,0.9360958074000568,-0.1662633955218626,0.6802041533651458,0.8420652603949285,5.474614803468745,3.44412626245345,6601.35759026531,11.853775347727176,-0.1679055507628076
06837_01,0.0929853815787348,0.1073006026407676,327.2266036152849,0.7518378041981474,0.9317281206702464,-0.0917490398077825,0.6737077690791341,0.8357187828925225,5.736855480448121,4.078036541688918,6388.724125471421,15.799287546231378,-0.091010093404388
06839_01,0.179728152789986,-0.2133083334363074,447.7380062442285,0.8040722648891916,0.9328013464182866,-0.2135057153996525,0.7220226080697674,0.8661661794586865,5.822226273574367,5.114903654905967,6468.734654300169,13.579090462007631,-0.214051701022957
06841_01,0.0961327975459274,0.6991502200355376,398.44183965640656,0.7615695903774453,0.9266362859533934,0.1473437660667102,0.7150723249217551,0.8476486732386298,5.953659532755987,3.475828268695877,5728.00292973952,12.20248051590156,0.1492682992245737
06841_02,0.1303004633116476,0.2709462644632024,318.44362211580324,0.7841692315941273,0.9252447567479444,-0.1938183188378306,0.7214552960729833,0.8584101212391462,5.898404894931867,4.370635512529665,5748.891685371795,12.285575411090738,-0.1949298136281509
06843_01,0.1871945954050882,0.1208025107560491,351.13169715211853,0.7890615607658437,0.9294270424192134,-0.0882948339310339,0.7162270734514526,0.8534085806635551,5.725376160265059,4.52248326618972,6323.423385320292,12.290552510911436,-0.088190897946481
06843_02,0.137135535594027,0.3173047903125498,313.6376471246051,0.7736948233235675,0.9269256317842064,-0.0111801252721712,0.7092338569814873,0.8386376198413905,5.770357170325736,3.793726112091186,6328.26539853062,10.783617730624655,-0.0103800881457907
06843_03,0.1555053844176496,0.1108172872222039,315.5448725520304,0.785702194563807,0.9259317486851768,-0.0502740255010252,0.7129737124210562,0.8422874916586308,5.696790943980331,4.325917261549415,6450.952749085082,12.162680092232272,-0.0500517720699761
06845_01,0.1693845046407148,-0.2387517758491799,296.55309977853415,0.715619339731416,0.9224011181426444,-0.3489329232694992,0.6467052880952019,0.7988265526259023,5.794567614020321,3.903124363644213,6802.91229073091,8.608662411659221,-0.3483365648020909
